University,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used
Le Moyne College,3.5,0.95059151,2897,159158.5,0.58,1073,0.66,33905,0,1
SUNY College--Oneonta,3.6,0.937354086,5730,155900,0.58,1087,0.53,7936,1,0
CUNY--Baruch College,3.3,0.226541096,15210,147900,0.38,1230,0.31,7551,1,1
Sacred Heart University,3.5,0.961982059,5428,141168.5,0.54,1180,0.57,39820,0,1
Canisius College,3.6,0.93122172,2595,109696.5,0.64,1078,0.78,36454,0,1
Alfred University,3.3,0.96895075,1815,106906,0.43,1057,0.63,32264,0,1
CUNY--Hunter College,3.3,0.225795811,16723,105700,0.24,1165,0.38,6780,1,0
New York Institute of Technology,3.4,0.818360656,3575,103400,0.23,1074,0.73,35870,0,0
Assumption College,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,1
Niagara University,3.4,0.964731815,3136,91240,0.6,1037,0.83,31950,0,1
La Salle University,3.3,0.914915428,3652,84808,0.57,990,0.77,29500,0,0
Roger Williams University,3.3,0.976269316,4902,82768.5,0.55,1200,0.79,33336,0,0
Hood College,3.5,0.936893204,1174,82285.5,0.5,1150,0.71,37960,0,1
Monmouth University,3.3,0.946256316,6371,78549,0.55,1037,0.77,36733,0,0
Wagner College,3.6,0.951122853,2290,78396,0.64,1210,0.7,45380,0,0
Manhattan College,3.4,0.90513834,3637,77149.5,0.57,1097,0.71,40345,0,1
Towson University,3.6,0.87145452,19198,68700,0.46,1081,0.74,99694,1,0
Endicott College,3.3,0.929824561,3290,65859,0.76,1160,0.79,32154,0,0
Arcadia University,3.6,0.955522609,2473,64835.5,0.58,1104,0.63,42330,0,1
Nazareth College,3.5,0.969125214,2159,62356,0.58,1150,0.72,32424,0,0
Springfield College,3.2,0.965065502,2110,61331,0.63,1042,0.66,36535,0,1
Lebanon Valley College,3.7,0.965811966,1712,61011,0.72,1160,0.76,42180,0,1
St. Bonaventure University,3.4,0.94109589,1660,59120.5,0.53,1066,0.66,33301,0,0
Gannon University,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932,0,0
Rider University,3.3,0.951838426,4060,57288.5,0.58,1014,0.69,41310,0,1
Marist College,3.3,0.957435897,5616,56500,0.75,1255,0.41,36780,0,1
Salve Regina University,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986,0,1
